VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
4211,30,134,0,98208.0,2024,39,97,0,1,0.0,0.0,44.0,270009134,269,72,53061041605.0
2106,30,269,0,98275.0,2025,31,92,0,1,0.0,0.0,21.0,272841460,308,72,53061042006.0
1965,16,27,0,98004.0,2017,31,92,0,0,107.0,0.0,48.0,237973424,270,73,53033024001.0
6070,5,450,0,98661.0,2023,39,100,0,1,0.0,0.0,49.0,258197166,438,36,53011042900.0
1803,17,20,0,98110.0,2013,31,92,0,0,75.0,0.0,23.0,134020190,405,72,53035090700.0
6205,31,406,0,99208.0,2024,29,109,1,0,38.0,0.0,7.0,275193971,45,2,53063010507.0
5946,16,377,0,98101.0,2024,39,100,0,1,0.0,0.0,43.0,267130762,342,57,53033008101.0
2848,26,34,0,98391.0,2022,13,101,0,1,0.0,0.0,31.0,207036840,263,73,53053070208.0
6806,22,26,0,98528.0,2025,23,104,1,0,37.0,0.0,35.0,269599060,483,22,53045960301.0
5998,16,27,0,98005.0,2023,39,100,0,1,0.0,0.0,48.0,249231552,261,73,53033023603.0
1833,5,450,0,98686.0,2015,31,92,0,0,84.0,0.0,49.0,182390295,436,36,53011040803.0
6843,16,27,0,98004.0,2024,23,104,1,0,37.0,0.0,41.0,265778306,270,73,53033023807.0
2657,16,377,0,98117.0,2017,13,63,1,2,21.0,0.0,36.0,315802826,363,57,53033003100.0
6697,17,20,0,98110.0,2013,41,113,1,2,6.0,0.0,23.0,161339916,405,72,53035090902.0
4104,16,351,0,98058.0,2021,39,97,0,1,0.0,0.0,11.0,203021619,248,73,53033025803.0
8138,4,327,0,98362.0,2024,20,54,0,1,0.0,0.0,24.0,274232829,528,11,53009001200.0
2230,16,192,0,98028.0,2023,43,83,0,1,0.0,0.0,46.0,252356751,296,73,53033021702.0
6455,26,402,0,98374.0,2024,31,15,0,1,0.0,0.0,25.0,273135621,303,73,53053073122.0
12059,33,298,0,98513.0,2021,43,83,0,1,0.0,0.0,20.0,192674954,480,72,53067012420.0
4724,30,119,0,98020.0,2024,39,98,0,1,0.0,0.0,32.0,264587326,360,72,53061050700.0
3513,30,35,0,98021.0,2017,27,67,1,2,10.0,0.0,1.0,269583485,268,72,53061051922.0
4205,33,298,0,98502.0,2018,39,97,0,0,215.0,0.0,35.0,325342279,501,72,53067011901.0
4181,16,77,0,98004.0,2018,39,97,0,0,215.0,0.0,48.0,167075086,270,73,53033024100.0
5951,16,377,0,98106.0,2025,39,100,0,1,0.0,0.0,34.0,275396145,347,57,53033010701.0
4160,30,416,0,98294.0,2023,39,97,0,1,0.0,0.0,39.0,235330483,218,31,53061053801.0
6017,30,395,0,98296.0,2022,39,100,0,1,0.0,0.0,44.0,205688906,258,72,53061052105.0
13386,16,27,0,98005.0,2024,44,166,1,0,32.0,0.0,48.0,251747289,261,73,53033023701.0
6061,28,49,0,98233.0,2022,39,100,0,1,0.0,0.0,10.0,207596693,336,72,53057951900.0
11377,16,48,0,98168.0,2024,28,71,0,1,0.0,0.0,33.0,264902606,338,57,53033027000.0
6950,16,377,0,98118.0,2023,38,141,0,1,0.0,0.0,37.0,257849553,299,57,53033011801.0
12090,16,377,0,98115.0,2022,43,83,0,1,0.0,0.0,46.0,226089993,323,57,53033001900.0
5946,17,37,0,98311.0,2024,39,100,0,1,0.0,0.0,23.0,270114827,431,72,53035091600.0
9467,16,377,0,98115.0,2023,27,45,0,1,0.0,0.0,46.0,228502319,323,57,53033002600.0
4201,30,395,0,98296.0,2022,39,97,0,1,0.0,0.0,1.0,272383604,258,72,53061052113.0
5997,16,198,0,98033.0,2022,39,100,0,1,0.0,0.0,48.0,187310259,280,73,53033022501.0
3447,16,377,0,98101.0,2023,5,0,1,2,22.0,0.0,43.0,271629998,342,57,53033008200.0
104,30,119,0,98020.0,2024,19,161,1,2,21.0,0.0,21.0,267713323,360,72,53061050403.0
6022,13,423,0,98587.0,2023,39,100,0,1,0.0,0.0,24.0,224597838,558,40,53027940000.0
5965,30,269,0,98275.0,2024,39,100,0,1,0.0,0.0,21.0,269698068,308,72,53061042005.0
1920,16,377,0,98178.0,2018,31,92,0,0,151.0,0.0,37.0,102405719,292,73,53033026001.0
4143,16,27,0,98005.0,2024,39,97,0,1,0.0,0.0,48.0,267525639,261,73,53033023601.0
5668,16,252,0,98040.0,2023,35,123,0,1,0.0,0.0,41.0,261154652,282,73,53033024602.0
6058,16,377,0,98136.0,2023,39,100,0,1,0.0,0.0,34.0,238624746,362,57,53033011601.0
3870,7,478,0,98674.0,2020,24,16,1,2,21.0,0.0,20.0,122397005,466,37,53015001501.0
12842,17,331,0,98366.0,2022,44,26,0,1,0.0,0.0,26.0,187007110,441,72,53035092701.0
6023,16,194,0,98032.0,2024,39,100,0,1,0.0,0.0,33.0,267423355,291,73,53033029203.0
8519,16,35,0,98011.0,2020,20,103,0,0,239.0,0.0,1.0,177821360,278,73,53033021803.0
894,30,134,0,98208.0,2023,8,20,0,1,0.0,0.0,38.0,228746619,269,72,53061041605.0
4207,16,377,0,98109.0,2020,39,97,0,0,322.0,0.0,36.0,126148851,345,57,53033006702.0
3079,16,351,0,98056.0,2022,13,101,0,1,0.0,0.0,11.0,195559045,266,73,53033025201.0
5266,16,377,0,98115.0,2021,39,100,0,1,0.0,0.0,46.0,269806414,323,57,53033004201.0
12329,16,377,0,98115.0,2024,32,117,0,1,0.0,0.0,46.0,271874900,323,57,53033002600.0
4107,30,134,0,98208.0,2024,39,97,0,1,0.0,0.0,44.0,269753851,269,72,53061052114.0
5278,5,450,0,98662.0,2021,39,100,0,1,0.0,0.0,17.0,150895244,422,36,53011040703.0
654,16,377,0,98104.0,2024,13,58,0,1,0.0,0.0,43.0,277589637,335,57,53033008500.0
8813,26,44,0,98321.0,2024,20,148,1,0,34.0,0.0,31.0,274947354,236,73,53053070207.0
4534,14,51,0,98282.0,2016,39,98,0,0,210.0,0.0,10.0,124496515,366,31,53029971600.0
6523,16,373,0,98074.0,2024,31,15,0,1,0.0,0.0,45.0,274258477,235,73,53033032217.0
8162,26,153,0,98329.0,2024,20,54,0,1,0.0,0.0,26.0,261206669,450,19,53053072503.0
672,16,377,0,98104.0,2023,13,58,0,1,0.0,0.0,43.0,261882722,335,57,53033008500.0
6006,5,450,0,98664.0,2023,39,100,0,1,0.0,0.0,49.0,260675054,425,36,53011043100.0
214,16,377,0,98136.0,2022,19,68,1,2,25.0,0.0,34.0,229586640,362,57,53033011601.0
12943,16,373,0,98074.0,2022,44,164,0,1,0.0,0.0,45.0,205288548,235,73,53033032216.0
6013,30,134,0,98208.0,2022,39,100,0,1,0.0,0.0,44.0,183306791,269,72,53061041701.0
4233,16,377,0,98106.0,2022,39,97,0,1,0.0,0.0,34.0,202804430,347,57,53033011300.0
2443,16,198,0,98034.0,2019,9,110,1,0,32.0,39995.0,1.0,477945954,285,73,53033022300.0
12239,30,395,0,98296.0,2019,43,38,0,0,125.0,0.0,1.0,229915150,258,72,53061052112.0
13290,16,377,0,98107.0,2023,44,165,1,0,35.0,0.0,36.0,249569890,364,57,53033003302.0
7722,16,377,0,98115.0,2022,17,84,1,2,29.0,0.0,43.0,196444657,323,57,53033003602.0
4217,30,261,0,98272.0,2022,39,97,0,1,0.0,0.0,39.0,193516592,228,72,53061052204.0
6972,33,298,0,98512.0,2023,41,23,0,1,0.0,0.0,22.0,263310351,499,72,53067011822.0
11199,16,377,0,98102.0,2021,5,77,1,0,153.0,0.0,43.0,272224564,331,57,53033006500.0
5995,20,17,0,98304.0,2024,39,100,0,1,0.0,0.0,20.0,273802672,237,20,53041971800.0
2348,26,210,0,98498.0,2018,9,110,1,0,33.0,0.0,28.0,309179853,417,73,53053072107.0
42,28,362,0,98283.0,2022,19,161,1,2,21.0,0.0,39.0,207941772,212,72,53057951102.0
6019,30,269,0,98275.0,2024,39,100,0,1,0.0,0.0,21.0,268230518,308,72,53061042001.0
1997,16,350,0,98052.0,2021,31,92,0,1,0.0,0.0,45.0,168398142,257,73,53033032321.0
